fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,传媒,1,0.865,0.863,1035.6,1200,0.915,0.92,1200,1200,1104,68.4,68.4,0,1,0
,小网,传媒,0.95,0.805,0.803,1124.2,1400,0.855,0.86,1400,1300,1204,79.8,-6.2,100,1,0
,小网,传媒,0.9,0.745,0.743,1188.8,1600,0.795,0.8,1600,1500,1280,91.2,11.2,100,1,0
,小网,传媒,0.85,0.685,0.683,1229.4,1800,0.735,0.74,1800,1700,1332,102.6,28.6,100,1,0
,小网,传媒,0.8,0.625,0.623,1308.3,2100,0.675,0.68,2100,2000,1428,119.7,51.7,100,1,0
,小网,传媒,0.75,0.565,0.563,1351.2,2400,0.615,0.62,2400,2300,1488,136.8,74.8,100,1,0
,小网,传媒,0.7,0.505,0.503,1408.4,2800,0.555,0.56,2800,2700,1568,159.6,103.6,100,1,0
,小网,传媒,0.65,0.445,0.443,1506.2,3400,0.495,0.5,3400,3300,1700,193.8,143.8,100,1,0
