fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,恒生,1,1.46,1.459,1021.3,700,1.531,1.532,700,600,1072.4,51.1,-102.1,100,1,0
,小网,恒生,0.95,1.387,1.386,1108.8,800,1.458,1.459,800,700,1167.2,58.4,-87.5,100,1,0
,小网,恒生,0.9,1.314,1.313,1050.4,800,1.385,1.386,800,700,1108.8,58.4,-80.2,100,1,0
,小网,恒生,0.85,1.241,1.24,1116,900,1.312,1.313,900,800,1181.7,65.7,-65.6,100,1,0
,小网,恒生,0.8,1.168,1.167,1167,1000,1.239,1.24,1000,900,1240,73,-51,100,1,0
,小网,恒生,0.75,1.095,1.094,1312.8,1200,1.166,1.167,1200,1100,1400.4,87.6,-29.1,100,1,0
,小网,恒生,0.7,1.022,1.021,1327.3,1300,1.093,1.094,1300,1200,1422.2,94.9,-14.5,100,1,0
,小网,恒生,0.65,0.949,0.948,1422,1500,1.02,1.021,1500,1400,1531.5,109.5,7.4,100,1,0
,小网,恒生,0.6,0.876,0.875,1487.5,1700,0.947,0.948,1700,1600,1611.6,124.1,29.3,100,1,0
