fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,证券,1,1.035,1.03,1236,1200,1.128,1.133,1200,1100,1246.3,123.6,10.3,100,1,0
,小网,证券,0.95,0.932,0.927,1297.8,1400,1.01588,1.02088,1400,1300,1327.144,131.432,29.344,100,1,0
,小网,证券,0.9,0.829,0.824,1318.4,1600,0.90361,0.90861,1600,1500,1362.915,135.376,44.515,100,1,0
,小网,证券,0.85,0.726,0.721,1297.8,1800,0.79134,0.79634,1800,1700,1353.778,135.612,55.978,100,1,0
,小网,证券,0.8,0.623,0.618,1297.8,2100,0.67907,0.68407,2100,2000,1368.14,138.747,70.34,100,1,0
,小网,证券,0.75,0.52,0.515,1236,2400,0.5668,0.5718,2400,2300,1315.14,136.32,79.14,100,1,0
,小网,证券,0.7,0.417,0.412,1153.6,2800,0.45453,0.45953,2800,2700,1240.731,133.084,87.131,100,1,0
,小网,证券,0.65,0.314,0.309,1050.6,3400,0.34226,0.34726,3400,3300,1145.958,130.084,95.358,100,1,0
