fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,医药,1,1.904,1.901,1901,1000,1.989,1.996,1000,900,1996,123.6,-104.6,100,12,0
,小网,医药,0.95,1.809,1.806,2167.2,1200,1.899,1.906,1200,1100,2287.2,131.432,-70.6,100,12,0
,小网,医药,0.9,1.718,1.715,2401,1400,1.809,1.816,1400,1300,2542.4,135.376,-40.2,100,12,0
,小网,医药,0.85,1.632,1.629,2280.6,1400,1.719,1.726,1400,1300,2416.4,135.612,-36.8,100,12,0
,小网,医药,0.8,1.551,1.548,2476.8,1600,1.629,1.636,1600,1500,2617.6,138.747,-22.8,100,12,0
,小网,医药,0.75,1.473,1.47,2646,1800,1.539,1.546,1800,1700,2782.8,136.32,-17.8,100,12,0
,小网,医药,0.7,1.399,1.396,2792,2000,1.449,1.456,2000,1900,2912,133.084,-25.6,100,12,0
,小网,医药,0.65,1.329,1.326,2917.2,2200,1.359,1.366,2200,2100,3005.2,130.084,-48.6,100,12,0
,小网,医药,0.6,1.263,1.26,3024,2400,1.269,1.276,2400,2300,3062.4,130.084,-89.2,100,12,0
