date,code,value,share,fee,grid_id
2021/8/18,SH512880,1.313,-1100,0.2,10
2021/7/30,SH512880,1.03,1200,0.2,10
2021/5/25,SH512880,1.125,-1100,0.2,10
2021/3/19,SH512880,1.03,1200,0.2,10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
