date,code,value,share,fee,grid_id
2021/10/14,SH513050,1.526,-1600,0.2,11
2021/9/16,SH513050,1.434,1700,0.2,11
2021/8/17,SH513050,1.523,1600,0.2,11
2021/8/2,SH513050,1.589,1300,0.2,11
2021/7/27,SH513050,1.612,1400,0.2,11
2021/7/13,SH513050,1.791,-1200,0.2,11
2021/7/9,SH513050,1.701,1300,0.2,11
2021/7/9,SH513050,1.705,700,0.2,11
2021/7/7,SH513050,1.79,500,0.2,11
