date,code,value,share,fee,grid_id
2021/10/27,SH512980,0.683,1800,0.2,7
2021/9/10,SH512980,0.738,1500,0.2,7
2021/9/8,SH512980,0.74,-1700,0.2,7
2021/7/28,SH512980,0.683,1800,0.2,7
2021/7/23,SH512980,0.743,1600,0.2,7
2021/3/15,SH512980,0.803,1400,0.2,7
2020/12/16,SH512980,0.863,1200,0.2,7
